date,transactions,sales,sales_transactions,cash_sales,cashless_transactions,cashless_kind,cashless_sales,cashless_sales_kind,customers,Customer_unit_price,store_horiday
2021/04/23,90,70435,54,40274,36,WAON(1)/交通系IC(19)/JCB(5)/MASTER(6)/iD(4)/選択なし(1),30162,WAON(480)/交通系IC(14152)/JCB(4356)/MASTER(6238)/iD(3593)/選択なし(1343),90,783,0
2021/04/24,119,108774,83,72397,36,QUICPay(1)/iD(5)/MASTER(10)/交通系IC(17)/WAON(1)/JCB(2),36377,QUICPay(1365)/iD(3759)/MASTER(11625)/交通系IC(15449)/WAON(600)/JCB(3579),119,914,0
2021/04/25,113,116621,72,70817,41,iD(7)/交通系IC(21)/JCB(2)/MASTER(8)/選択なし(1)/WAON(1)/QUICPay(1),45805,iD(5728)/交通系IC(17890)/JCB(5408)/MASTER(11549)/選択なし(1990)/WAON(1210)/QUICPay(2030),113,1032,0
2021/04/26,0,0,0,0,0,,0,,0,0,1
2021/04/27,84,69168,65,54269,19,iD(3)/交通系IC(9)/MASTER(4)/JCB(2)/WAON(1),14899,iD(1952)/交通系IC(5700)/MASTER(3718)/JCB(2589)/WAON(940),84,823,0
2021/04/28,76,64071,53,45052,23,交通系IC(13)/MASTER(6)/選択なし(2)/iD(2),19019,交通系IC(7524)/MASTER(8422)/選択なし(2250)/iD(823),76,843,0
2021/04/29,81,73397,60,54234,21,MASTER(3)/JCB(2)/交通系IC(10)/iD(4)/WAON(1)/QUICPay(1),19163,MASTER(3505)/JCB(3311)/交通系IC(8121)/iD(2661)/WAON(165)/QUICPay(1400),81,906,0
2021/04/30,85,73520,60,48019,25,JCB(2)/交通系IC(12)/MASTER(9)/iD(1)/選択なし(1),25501,JCB(1593)/交通系IC(11326)/MASTER(11047)/iD(622)/選択なし(913),85,865,0
2021/05/1,125,119803,81,73513,44,交通系IC(18)/MASTER(10)/JCB(5)/iD(4)/選択なし(4)/QUICPay(3),46289,交通系IC(18676)/MASTER(9814)/JCB(6787)/iD(2559)/選択なし(5311)/QUICPay(3142),125,958,0
2021/05/2,94,93373,57,52904,37,交通系IC(18)/WAON(2)/iD(3)/MASTER(12)/選択なし(1)/JCB(1),40469,交通系IC(14288)/WAON(3329)/iD(4752)/MASTER(15789)/選択なし(1201)/JCB(1110),94,993,0
2021/05/3,107,85451,66,46704,41,交通系IC(20)/MASTER(12)/選択なし(2)/iD(4)/JCB(2)/WAON(1),38747,交通系IC(15504)/MASTER(14062)/選択なし(1408)/iD(3161)/JCB(4447)/WAON(165),107,799,0
2021/05/4,130,118770,84,71499,46,QUICPay(3)/iD(5)/交通系IC(23)/MASTER(9)/JCB(3)/選択なし(2)/WAON(1),47271,QUICPay(3531)/iD(3991)/交通系IC(26231)/MASTER(7943)/JCB(2162)/選択なし(2414)/WAON(999),130,914,0
2021/05/5,97,78902,70,57835,27,JCB(5)/交通系IC(14)/iD(2)/MASTER(3)/QUICPay(3),21067,JCB(4627)/交通系IC(8335)/iD(3301)/MASTER(3532)/QUICPay(1272),97,813,0
2021/05/6,0,0,0,0,0,,0,,0,0,1
2021/05/7,0,0,0,0,0,,0,,0,0,1
2021/05/8,124,114788,64,53651,60,iD(7)/交通系IC(28)/MASTER(15)/QUICPay(2)/JCB(6)/WAON(1)/選択なし(1),61136,iD(9179)/交通系IC(22017)/MASTER(20449)/QUICPay(714)/JCB(6365)/WAON(430)/選択なし(1982),124,926,0
2021/05/9,106,93795,71,59668,35,JCB(6)/MASTER(11)/交通系IC(16)/選択なし(1)/iD(1),34127,JCB(5730)/MASTER(12326)/交通系IC(14051)/選択なし(1180)/iD(840),106,885,0
2021/05/10,0,0,0,0,0,,0,,0,0,1
2021/05/11,76,57840,46,37585,30,MASTER(4)/交通系IC(16)/JCB(4)/選択なし(1)/iD(3)/QUICPay(2),20256,MASTER(4116)/交通系IC(8222)/JCB(2664)/選択なし(891)/iD(2908)/QUICPay(1455),76,761,0
2021/05/12,92,66711,59,44671,33,交通系IC(20)/JCB(2)/MASTER(8)/iD(2)/選択なし(1),22039,交通系IC(13136)/JCB(1552)/MASTER(5548)/iD(1163)/選択なし(640),92,725,0
2021/05/13,47,40278,29,21789,18,JCB(1)/交通系IC(9)/MASTER(8),18489,JCB(1852)/交通系IC(6636)/MASTER(10001),47,857,0
2021/05/14,87,77844,61,50056,26,MASTER(6)/交通系IC(13)/QUICPay(1)/JCB(4)/iD(1)/選択なし(1),27788,MASTER(6354)/交通系IC(9481)/QUICPay(671)/JCB(7398)/iD(1062)/選択なし(2822),87,895,0
2021/05/15,114,112834,65,63161,49,iD(6)/交通系IC(20)/JCB(5)/MASTER(16)/選択なし(1)/QUICPay(1),49674,iD(6369)/交通系IC(13893)/JCB(7190)/MASTER(21292)/選択なし(720)/QUICPay(210),114,990,0
2021/05/16,90,89270,52,45775,38,JCB(4)/交通系IC(19)/MASTER(13)/iD(2),43496,JCB(9248)/交通系IC(20715)/MASTER(11823)/iD(1710),90,992,0
2021/05/17,0,0,0,0,0,,0,,0,0,1
2021/05/18,71,57026,45,32552,26,JCB(3)/iD(2)/MASTER(8)/交通系IC(10)/WAON(1)/選択なし(2),24474,JCB(3445)/iD(1620)/MASTER(7382)/交通系IC(9484)/WAON(400)/選択なし(2143),71,803,0
2021/05/19,64,51938,34,28597,30,交通系IC(16)/iD(6)/MASTER(7)/QUICPay(1),23341,交通系IC(10066)/iD(4109)/MASTER(8495)/QUICPay(671),64,812,0
